Start,End,Open,High,Low,Close,Volume,Market Cap,SMA_5,SMA_7,SMA_20
2010-07-17 00:00:00,2010-07-18 00:00:00,0.05,0.05,0.05,0.05,0.0,0.0,,,
2010-07-18 00:00:00,2010-07-19 00:00:00,0.0858,0.0858,0.0858,0.0858,0.0,0.0,,,
2010-07-19 00:00:00,2010-07-20 00:00:00,0.0808,0.0808,0.0808,0.0808,0.0,0.0,,,
2010-07-20 00:00:00,2010-07-21 00:00:00,0.0747,0.0747,0.0747,0.0747,0.0,0.0,,,
2010-07-21 00:00:00,2010-07-22 00:00:00,0.0792,0.0792,0.0792,0.0792,0.0,0.0,0.0741,,
2010-07-22 00:00:00,2010-07-23 00:00:00,0.0505,0.0505,0.0505,0.0505,0.0,0.0,0.0742,,
2010-07-23 00:00:00,2010-07-24 00:00:00,0.0626,0.0626,0.0626,0.0626,0.0,0.0,0.06956000000000001,0.06908571428571429,
2010-07-24 00:00:00,2010-07-25 00:00:00,0.0545,0.0545,0.0545,0.0545,0.0,0.0,0.0643,0.06972857142857143,
2010-07-25 00:00:00,2010-07-26 00:00:00,0.0505,0.0505,0.0505,0.0505,0.0,0.0,0.05946,0.06468571428571428,
2010-07-26 00:00:00,2010-07-27 00:00:00,0.056,0.056,0.056,0.056,0.0,0.0,0.05482,0.061142857142857145,
2010-07-27 00:00:00,2010-07-28 00:00:00,0.06,0.06,0.06,0.06,0.0,0.0,0.056720000000000007,0.05904285714285714,
2010-07-28 00:00:00,2010-07-29 00:00:00,0.0589,0.0589,0.0589,0.0589,0.0,0.0,0.05598000000000001,0.05614285714285715,
2010-07-29 00:00:00,2010-07-30 00:00:00,0.0699,0.0699,0.0699,0.0699,0.0,0.0,0.05906,0.05891428571428572,
2010-07-30 00:00:00,2010-07-31 00:00:00,0.0627,0.0627,0.0627,0.0627,0.0,0.0,0.0615,0.05892857142857143,
2010-07-31 00:00:00,2010-08-01 00:00:00,0.0679,0.0679,0.0679,0.0679,0.0,0.0,0.06388,0.06084285714285714,
2010-08-01 00:00:00,2010-08-02 00:00:00,0.0611,0.0611,0.0611,0.0611,0.0,0.0,0.0641,0.062357142857142854,
2010-08-02 00:00:00,2010-08-03 00:00:00,0.06,0.06,0.06,0.06,0.0,0.0,0.06432,0.06292857142857143,
2010-08-03 00:00:00,2010-08-04 00:00:00,0.06,0.06,0.06,0.06,0.0,0.0,0.06233999999999999,0.06292857142857143,
2010-08-04 00:00:00,2010-08-05 00:00:00,0.057,0.057,0.057,0.057,0.0,0.0,0.0612,0.06265714285714287,
2010-08-05 00:00:00,2010-08-06 00:00:00,0.061,0.061,0.061,0.061,0.0,0.0,0.05982,0.061385714285714287,0.063155
2010-08-06 00:00:00,2010-08-07 00:00:00,0.0623,0.0623,0.0623,0.0623,0.0,0.0,0.06006,0.06132857142857142,0.06377000000000001
2010-08-07 00:00:00,2010-08-08 00:00:00,0.059,0.059,0.059,0.059,0.0,0.0,0.059860000000000003,0.06005714285714286,0.062430000000000006
2010-08-08 00:00:00,2010-08-09 00:00:00,0.0609,0.0609,0.0609,0.0609,0.0,0.0,0.06004,0.060028571428571424,0.061435000000000003
2010-08-09 00:00:00,2010-08-10 00:00:00,0.071,0.071,0.071,0.071,0.0,0.0,0.06284000000000001,0.061599999999999995,0.06124999999999999
2010-08-10 00:00:00,2010-08-11 00:00:00,0.07,0.07,0.07,0.07,0.0,0.0,0.06464,0.06302857142857142,0.06079
2010-08-11 00:00:00,2010-08-12 00:00:00,0.067,0.067,0.067,0.067,0.0,0.0,0.06558,0.06445714285714285,0.061614999999999996
2010-08-12 00:00:00,2010-08-13 00:00:00,0.07,0.07,0.07,0.07,0.0,0.0,0.06777999999999999,0.06574285714285714,0.061985
2010-08-13 00:00:00,2010-08-14 00:00:00,0.0645,0.0645,0.0645,0.0645,0.0,0.0,0.0685,0.06605714285714286,0.062485
2010-08-14 00:00:00,2010-08-15 00:00:00,0.067,0.067,0.067,0.067,0.0,0.0,0.06770000000000001,0.06720000000000001,0.06331
2010-08-15 00:00:00,2010-08-16 00:00:00,0.0653,0.0653,0.0653,0.0653,0.0,0.0,0.06676,0.06782857142857143,0.063775
2010-08-16 00:00:00,2010-08-17 00:00:00,0.0655,0.0655,0.0655,0.0655,0.0,0.0,0.06646,0.06704285714285715,0.06405
2010-08-17 00:00:00,2010-08-18 00:00:00,0.07,0.07,0.07,0.07,0.0,0.0,0.06645999999999999,0.06704285714285715,0.064605
2010-08-18 00:00:00,2010-08-19 00:00:00,0.068,0.068,0.068,0.068,0.0,0.0,0.06716000000000001,0.06718571428571429,0.06451
2010-08-19 00:00:00,2010-08-20 00:00:00,0.0667,0.0667,0.0667,0.0667,0.0,0.0,0.0671,0.06671428571428571,0.06471
2010-08-20 00:00:00,2010-08-21 00:00:00,0.0655,0.0655,0.0655,0.0655,0.0,0.0,0.06714,0.06685714285714286,0.06459000000000001
2010-08-21 00:00:00,2010-08-22 00:00:00,0.0664,0.0664,0.0664,0.0664,0.0,0.0,0.06732,0.06677142857142858,0.064855
2010-08-22 00:00:00,2010-08-23 00:00:00,0.066,0.066,0.066,0.066,0.0,0.0,0.06652,0.06687142857142857,0.065155
2010-08-23 00:00:00,2010-08-24 00:00:00,0.0649,0.0649,0.0649,0.0649,0.0,0.0,0.0659,0.06678571428571428,0.0654
2010-08-24 00:00:00,2010-08-25 00:00:00,0.065,0.065,0.065,0.065,0.0,0.0,0.06556000000000001,0.06607142857142857,0.0658
2010-08-25 00:00:00,2010-08-26 00:00:00,0.0648,0.0648,0.0648,0.0648,0.0,0.0,0.06542,0.06561428571428571,0.06599
